Column1,Scene,Listener,SII,Column2
Scene S06001 listener L0064 sii 0.5603,S06001,L0064,0.5603,06001
Scene S06001 listener L0008 sii 0.5557,S06001,L0008,0.5557,06001
Scene S06001 listener L0068 sii 0.5268,S06001,L0068,0.5268,06001
Scene S06002 listener L0044 sii 0.6506,S06002,L0044,0.6506,06002
Scene S06002 listener L0082 sii 0.6902,S06002,L0082,0.6902,06002
Scene S06002 listener L0078 sii 0.7205,S06002,L0078,0.7205,06002
Scene S06003 listener L0066 sii 0.7272,S06003,L0066,0.7272,06003
Scene S06003 listener L0051 sii 0.6078,S06003,L0051,0.6078,06003
Scene S06003 listener L0077 sii 0.6941,S06003,L0077,0.6941,06003
Scene S06004 listener L0059 sii 0.5288,S06004,L0059,0.5288,06004
Scene S06004 listener L0092 sii 0.5044,S06004,L0092,0.5044,06004
Scene S06004 listener L0036 sii 0.5433,S06004,L0036,0.5433,06004
Scene S06005 listener L0081 sii 0.52,S06005,L0081,0.52,06005
Scene S06005 listener L0023 sii 0.5301,S06005,L0023,0.5301,06005
Scene S06005 listener L0048 sii 0.6399,S06005,L0048,0.6399,06005
Scene S06006 listener L0023 sii 0.4268,S06006,L0023,0.4268,06006
Scene S06006 listener L0015 sii 0.4404,S06006,L0015,0.4404,06006
Scene S06006 listener L0097 sii 0.3914,S06006,L0097,0.3914,06006
Scene S06007 listener L0042 sii 0.6723,S06007,L0042,0.6723,06007
Scene S06007 listener L0085 sii 0.6155,S06007,L0085,0.6155,06007
Scene S06007 listener L0095 sii 0.6105,S06007,L0095,0.6105,06007
Scene S06008 listener L0024 sii 0.3691,S06008,L0024,0.3691,06008
Scene S06008 listener L0053 sii 0.3827,S06008,L0053,0.3827,06008
Scene S06008 listener L0015 sii 0.3717,S06008,L0015,0.3717,06008
Scene S06009 listener L0012 sii 0.6432,S06009,L0012,0.6432,06009
Scene S06009 listener L0056 sii 0.5995,S06009,L0056,0.5995,06009
Scene S06009 listener L0076 sii 0.6523,S06009,L0076,0.6523,06009
Scene S06010 listener L0089 sii 0.603,S06010,L0089,0.603,06010
Scene S06010 listener L0015 sii 0.6316,S06010,L0015,0.6316,06010
Scene S06010 listener L0059 sii 0.6395,S06010,L0059,0.6395,06010
Scene S06011 listener L0070 sii 0.609,S06011,L0070,0.609,06011
Scene S06011 listener L0054 sii 0.6019,S06011,L0054,0.6019,06011
Scene S06011 listener L0096 sii 0.5949,S06011,L0096,0.5949,06011
Scene S06012 listener L0099 sii 0.6678,S06012,L0099,0.6678,06012
Scene S06012 listener L0035 sii 0.656,S06012,L0035,0.656,06012
Scene S06012 listener L0088 sii 0.6583,S06012,L0088,0.6583,06012
Scene S06013 listener L0077 sii 0.4785,S06013,L0077,0.4785,06013
Scene S06013 listener L0071 sii 0.4813,S06013,L0071,0.4813,06013
Scene S06013 listener L0083 sii 0.5079,S06013,L0083,0.5079,06013
Scene S06014 listener L0044 sii 0.5727,S06014,L0044,0.5727,06014
Scene S06014 listener L0010 sii 0.577,S06014,L0010,0.577,06014
Scene S06014 listener L0088 sii 0.5982,S06014,L0088,0.5982,06014
Scene S06015 listener L0002 sii 0.4653,S06015,L0002,0.4653,06015
Scene S06015 listener L0014 sii 0.4086,S06015,L0014,0.4086,06015
Scene S06015 listener L0066 sii 0.5481,S06015,L0066,0.5481,06015
Scene S06016 listener L0098 sii 0.5881,S06016,L0098,0.5881,06016
Scene S06016 listener L0001 sii 0.5771,S06016,L0001,0.5771,06016
Scene S06016 listener L0096 sii 0.5337,S06016,L0096,0.5337,06016
Scene S06017 listener L0080 sii 0.6627,S06017,L0080,0.6627,06017
Scene S06017 listener L0056 sii 0.631,S06017,L0056,0.631,06017
Scene S06017 listener L0041 sii 0.6645,S06017,L0041,0.6645,06017
Scene S06018 listener L0055 sii 0.5952,S06018,L0055,0.5952,06018
Scene S06018 listener L0011 sii 0.5417,S06018,L0011,0.5417,06018
Scene S06018 listener L0032 sii 0.5819,S06018,L0032,0.5819,06018
Scene S06019 listener L0090 sii 0.6198,S06019,L0090,0.6198,06019
Scene S06019 listener L0038 sii 0.6234,S06019,L0038,0.6234,06019
Scene S06019 listener L0040 sii 0.6178,S06019,L0040,0.6178,06019
Scene S06020 listener L0024 sii 0.6387,S06020,L0024,0.6387,06020
Scene S06020 listener L0086 sii 0.5762,S06020,L0086,0.5762,06020
Scene S06020 listener L0072 sii 0.4697,S06020,L0072,0.4697,06020
Scene S06021 listener L0014 sii 0.5267,S06021,L0014,0.5267,06021
Scene S06021 listener L0013 sii 0.615,S06021,L0013,0.615,06021
Scene S06021 listener L0054 sii 0.605,S06021,L0054,0.605,06021
Scene S06022 listener L0082 sii 0.6228,S06022,L0082,0.6228,06022
Scene S06022 listener L0078 sii 0.6245,S06022,L0078,0.6245,06022
Scene S06022 listener L0017 sii 0.6192,S06022,L0017,0.6192,06022
Scene S06023 listener L0051 sii 0.531,S06023,L0051,0.531,06023
Scene S06023 listener L0088 sii 0.6062,S06023,L0088,0.6062,06023
Scene S06023 listener L0049 sii 0.5583,S06023,L0049,0.5583,06023
Scene S06024 listener L0021 sii 0.6815,S06024,L0021,0.6815,06024
Scene S06024 listener L0088 sii 0.6843,S06024,L0088,0.6843,06024
Scene S06024 listener L0056 sii 0.5703,S06024,L0056,0.5703,06024
Scene S06025 listener L0086 sii 0.5476,S06025,L0086,0.5476,06025
Scene S06025 listener L0035 sii 0.5425,S06025,L0035,0.5425,06025
Scene S06025 listener L0095 sii 0.5222,S06025,L0095,0.5222,06025
Scene S06026 listener L0088 sii 0.4811,S06026,L0088,0.4811,06026
Scene S06026 listener L0093 sii 0.4457,S06026,L0093,0.4457,06026
Scene S06026 listener L0048 sii 0.4908,S06026,L0048,0.4908,06026
Scene S06027 listener L0071 sii 0.6103,S06027,L0071,0.6103,06027
Scene S06027 listener L0014 sii 0.5131,S06027,L0014,0.5131,06027
Scene S06027 listener L0094 sii 0.6227,S06027,L0094,0.6227,06027
Scene S06028 listener L0064 sii 0.6195,S06028,L0064,0.6195,06028
Scene S06028 listener L0054 sii 0.659,S06028,L0054,0.659,06028
Scene S06028 listener L0091 sii 0.6855,S06028,L0091,0.6855,06028
Scene S06029 listener L0040 sii 0.4518,S06029,L0040,0.4518,06029
Scene S06029 listener L0049 sii 0.4409,S06029,L0049,0.4409,06029
Scene S06029 listener L0031 sii 0.5163,S06029,L0031,0.5163,06029
Scene S06030 listener L0032 sii 0.6796,S06030,L0032,0.6796,06030
Scene S06030 listener L0031 sii 0.6278,S06030,L0031,0.6278,06030
Scene S06030 listener L0005 sii 0.6377,S06030,L0005,0.6377,06030
Scene S06031 listener L0096 sii 0.5902,S06031,L0096,0.5902,06031
Scene S06031 listener L0044 sii 0.5972,S06031,L0044,0.5972,06031
Scene S06031 listener L0076 sii 0.6366,S06031,L0076,0.6366,06031
Scene S06032 listener L0011 sii 0.5397,S06032,L0011,0.5397,06032
Scene S06032 listener L0014 sii 0.4302,S06032,L0014,0.4302,06032
Scene S06032 listener L0022 sii 0.5566,S06032,L0022,0.5566,06032
Scene S06033 listener L0026 sii 0.6225,S06033,L0026,0.6225,06033
Scene S06033 listener L0005 sii 0.6821,S06033,L0005,0.6821,06033
Scene S06033 listener L0013 sii 0.7107,S06033,L0013,0.7107,06033
Scene S06034 listener L0086 sii 0.6444,S06034,L0086,0.6444,06034
Scene S06034 listener L0065 sii 0.6252,S06034,L0065,0.6252,06034
Scene S06034 listener L0084 sii 0.6576,S06034,L0084,0.6576,06034
Scene S06035 listener L0047 sii 0.6008,S06035,L0047,0.6008,06035
Scene S06035 listener L0083 sii 0.5717,S06035,L0083,0.5717,06035
Scene S06035 listener L0040 sii 0.5524,S06035,L0040,0.5524,06035
Scene S06036 listener L0036 sii 0.548,S06036,L0036,0.548,06036
Scene S06036 listener L0093 sii 0.5941,S06036,L0093,0.5941,06036
Scene S06036 listener L0068 sii 0.5343,S06036,L0068,0.5343,06036
Scene S06037 listener L0092 sii 0.5434,S06037,L0092,0.5434,06037
Scene S06037 listener L0047 sii 0.6788,S06037,L0047,0.6788,06037
Scene S06037 listener L0072 sii 0.5542,S06037,L0072,0.5542,06037
Scene S06038 listener L0080 sii 0.6403,S06038,L0080,0.6403,06038
Scene S06038 listener L0100 sii 0.6862,S06038,L0100,0.6862,06038
Scene S06038 listener L0059 sii 0.6269,S06038,L0059,0.6269,06038
Scene S06039 listener L0013 sii 0.5162,S06039,L0013,0.5162,06039
Scene S06039 listener L0055 sii 0.5779,S06039,L0055,0.5779,06039
Scene S06039 listener L0096 sii 0.5055,S06039,L0096,0.5055,06039
Scene S06040 listener L0019 sii 0.693,S06040,L0019,0.693,06040
Scene S06040 listener L0078 sii 0.6694,S06040,L0078,0.6694,06040
Scene S06040 listener L0093 sii 0.6032,S06040,L0093,0.6032,06040
Scene S06041 listener L0098 sii 0.6756,S06041,L0098,0.6756,06041
Scene S06041 listener L0056 sii 0.649,S06041,L0056,0.649,06041
Scene S06041 listener L0032 sii 0.7065,S06041,L0032,0.7065,06041
Scene S06042 listener L0041 sii 0.2746,S06042,L0041,0.2746,06042
Scene S06042 listener L0003 sii 0.2925,S06042,L0003,0.2925,06042
Scene S06042 listener L0045 sii 0.2776,S06042,L0045,0.2776,06042
Scene S06043 listener L0019 sii 0.6566,S06043,L0019,0.6566,06043
Scene S06043 listener L0038 sii 0.5797,S06043,L0038,0.5797,06043
Scene S06043 listener L0062 sii 0.529,S06043,L0062,0.529,06043
Scene S06044 listener L0028 sii 0.6612,S06044,L0028,0.6612,06044
Scene S06044 listener L0056 sii 0.5913,S06044,L0056,0.5913,06044
Scene S06044 listener L0069 sii 0.6971,S06044,L0069,0.6971,06044
Scene S06045 listener L0010 sii 0.4878,S06045,L0010,0.4878,06045
Scene S06045 listener L0015 sii 0.5319,S06045,L0015,0.5319,06045
Scene S06045 listener L0024 sii 0.4808,S06045,L0024,0.4808,06045
Scene S06046 listener L0038 sii 0.6117,S06046,L0038,0.6117,06046
Scene S06046 listener L0008 sii 0.6329,S06046,L0008,0.6329,06046
Scene S06046 listener L0091 sii 0.6781,S06046,L0091,0.6781,06046
Scene S06047 listener L0099 sii 0.6133,S06047,L0099,0.6133,06047
Scene S06047 listener L0085 sii 0.6259,S06047,L0085,0.6259,06047
Scene S06047 listener L0095 sii 0.6143,S06047,L0095,0.6143,06047
Scene S06048 listener L0012 sii 0.6191,S06048,L0012,0.6191,06048
Scene S06048 listener L0004 sii 0.6281,S06048,L0004,0.6281,06048
Scene S06048 listener L0021 sii 0.6314,S06048,L0021,0.6314,06048
Scene S06049 listener L0099 sii 0.4106,S06049,L0099,0.4106,06049
Scene S06049 listener L0032 sii 0.4343,S06049,L0032,0.4343,06049
Scene S06049 listener L0095 sii 0.3974,S06049,L0095,0.3974,06049
Scene S06050 listener L0091 sii 0.6741,S06050,L0091,0.6741,06050
Scene S06050 listener L0021 sii 0.6499,S06050,L0021,0.6499,06050
Scene S06050 listener L0065 sii 0.6481,S06050,L0065,0.6481,06050
Scene S06051 listener L0014 sii 0.5468,S06051,L0014,0.5468,06051
Scene S06051 listener L0062 sii 0.5548,S06051,L0062,0.5548,06051
Scene S06051 listener L0019 sii 0.6881,S06051,L0019,0.6881,06051
Scene S06052 listener L0005 sii 0.4073,S06052,L0005,0.4073,06052
Scene S06052 listener L0095 sii 0.4391,S06052,L0095,0.4391,06052
Scene S06052 listener L0003 sii 0.4474,S06052,L0003,0.4474,06052
Scene S06053 listener L0032 sii 0.6272,S06053,L0032,0.6272,06053
Scene S06053 listener L0031 sii 0.6199,S06053,L0031,0.6199,06053
Scene S06053 listener L0021 sii 0.577,S06053,L0021,0.577,06053
Scene S06054 listener L0077 sii 0.4453,S06054,L0077,0.4453,06054
Scene S06054 listener L0035 sii 0.4328,S06054,L0035,0.4328,06054
Scene S06054 listener L0010 sii 0.3895,S06054,L0010,0.3895,06054
Scene S06055 listener L0003 sii 0.6794,S06055,L0003,0.6794,06055
Scene S06055 listener L0086 sii 0.6203,S06055,L0086,0.6203,06055
Scene S06055 listener L0069 sii 0.6585,S06055,L0069,0.6585,06055
Scene S06056 listener L0097 sii 0.5247,S06056,L0097,0.5247,06056
Scene S06056 listener L0015 sii 0.5827,S06056,L0015,0.5827,06056
Scene S06056 listener L0044 sii 0.5812,S06056,L0044,0.5812,06056
Scene S06057 listener L0011 sii 0.5905,S06057,L0011,0.5905,06057
Scene S06057 listener L0038 sii 0.5734,S06057,L0038,0.5734,06057
Scene S06057 listener L0012 sii 0.5938,S06057,L0012,0.5938,06057
Scene S06058 listener L0100 sii 0.6649,S06058,L0100,0.6649,06058
Scene S06058 listener L0051 sii 0.6404,S06058,L0051,0.6404,06058
Scene S06058 listener L0058 sii 0.6488,S06058,L0058,0.6488,06058
Scene S06059 listener L0070 sii 0.5236,S06059,L0070,0.5236,06059
Scene S06059 listener L0031 sii 0.4886,S06059,L0031,0.4886,06059
Scene S06059 listener L0010 sii 0.4939,S06059,L0010,0.4939,06059
Scene S06060 listener L0081 sii 0.5451,S06060,L0081,0.5451,06060
Scene S06060 listener L0074 sii 0.6115,S06060,L0074,0.6115,06060
Scene S06060 listener L0008 sii 0.6029,S06060,L0008,0.6029,06060
Scene S06061 listener L0094 sii 0.536,S06061,L0094,0.536,06061
Scene S06061 listener L0015 sii 0.5729,S06061,L0015,0.5729,06061
Scene S06061 listener L0065 sii 0.4769,S06061,L0065,0.4769,06061
Scene S06062 listener L0034 sii 0.5367,S06062,L0034,0.5367,06062
Scene S06062 listener L0044 sii 0.5213,S06062,L0044,0.5213,06062
Scene S06062 listener L0059 sii 0.581,S06062,L0059,0.581,06062
Scene S06063 listener L0076 sii 0.4823,S06063,L0076,0.4823,06063
Scene S06063 listener L0090 sii 0.4916,S06063,L0090,0.4916,06063
Scene S06063 listener L0028 sii 0.5048,S06063,L0028,0.5048,06063
Scene S06064 listener L0035 sii 0.4812,S06064,L0035,0.4812,06064
Scene S06064 listener L0010 sii 0.4158,S06064,L0010,0.4158,06064
Scene S06064 listener L0027 sii 0.4801,S06064,L0027,0.4801,06064
Scene S06065 listener L0027 sii 0.4548,S06065,L0027,0.4548,06065
Scene S06065 listener L0057 sii 0.4205,S06065,L0057,0.4205,06065
Scene S06065 listener L0084 sii 0.4717,S06065,L0084,0.4717,06065
Scene S06066 listener L0042 sii 0.399,S06066,L0042,0.399,06066
Scene S06066 listener L0021 sii 0.348,S06066,L0021,0.348,06066
Scene S06066 listener L0094 sii 0.3464,S06066,L0094,0.3464,06066
Scene S06067 listener L0071 sii 0.7107,S06067,L0071,0.7107,06067
Scene S06067 listener L0029 sii 0.7077,S06067,L0029,0.7077,06067
Scene S06067 listener L0002 sii 0.6974,S06067,L0002,0.6974,06067
Scene S06068 listener L0076 sii 0.4974,S06068,L0076,0.4974,06068
Scene S06068 listener L0067 sii 0.5221,S06068,L0067,0.5221,06068
Scene S06068 listener L0090 sii 0.48,S06068,L0090,0.48,06068
Scene S06069 listener L0082 sii 0.5994,S06069,L0082,0.5994,06069
Scene S06069 listener L0053 sii 0.5897,S06069,L0053,0.5897,06069
Scene S06069 listener L0059 sii 0.5972,S06069,L0059,0.5972,06069
Scene S06070 listener L0064 sii 0.64,S06070,L0064,0.64,06070
Scene S06070 listener L0042 sii 0.742,S06070,L0042,0.742,06070
Scene S06070 listener L0026 sii 0.612,S06070,L0026,0.612,06070
Scene S06071 listener L0089 sii 0.5979,S06071,L0089,0.5979,06071
Scene S06071 listener L0002 sii 0.6147,S06071,L0002,0.6147,06071
Scene S06071 listener L0073 sii 0.5492,S06071,L0073,0.5492,06071
Scene S06072 listener L0013 sii 0.5655,S06072,L0013,0.5655,06072
Scene S06072 listener L0056 sii 0.5005,S06072,L0056,0.5005,06072
Scene S06072 listener L0008 sii 0.5353,S06072,L0008,0.5353,06072
Scene S06073 listener L0086 sii 0.5398,S06073,L0086,0.5398,06073
Scene S06073 listener L0047 sii 0.5272,S06073,L0047,0.5272,06073
Scene S06073 listener L0023 sii 0.4623,S06073,L0023,0.4623,06073
Scene S06074 listener L0040 sii 0.3266,S06074,L0040,0.3266,06074
Scene S06074 listener L0077 sii 0.3617,S06074,L0077,0.3617,06074
Scene S06074 listener L0059 sii 0.3931,S06074,L0059,0.3931,06074
Scene S06075 listener L0096 sii 0.5205,S06075,L0096,0.5205,06075
Scene S06075 listener L0048 sii 0.6061,S06075,L0048,0.6061,06075
Scene S06075 listener L0059 sii 0.535,S06075,L0059,0.535,06075
Scene S06076 listener L0093 sii 0.5054,S06076,L0093,0.5054,06076
Scene S06076 listener L0099 sii 0.5046,S06076,L0099,0.5046,06076
Scene S06076 listener L0097 sii 0.443,S06076,L0097,0.443,06076
Scene S06077 listener L0022 sii 0.6943,S06077,L0022,0.6943,06077
Scene S06077 listener L0053 sii 0.6735,S06077,L0053,0.6735,06077
Scene S06077 listener L0064 sii 0.6835,S06077,L0064,0.6835,06077
Scene S06078 listener L0068 sii 0.4561,S06078,L0068,0.4561,06078
Scene S06078 listener L0013 sii 0.4373,S06078,L0013,0.4373,06078
Scene S06078 listener L0001 sii 0.4463,S06078,L0001,0.4463,06078
Scene S06079 listener L0094 sii 0.6032,S06079,L0094,0.6032,06079
Scene S06079 listener L0032 sii 0.541,S06079,L0032,0.541,06079
Scene S06079 listener L0056 sii 0.4714,S06079,L0056,0.4714,06079
Scene S06080 listener L0027 sii 0.5806,S06080,L0027,0.5806,06080
Scene S06080 listener L0040 sii 0.5865,S06080,L0040,0.5865,06080
Scene S06080 listener L0038 sii 0.5537,S06080,L0038,0.5537,06080
Scene S06081 listener L0099 sii 0.5423,S06081,L0099,0.5423,06081
Scene S06081 listener L0072 sii 0.4566,S06081,L0072,0.4566,06081
Scene S06081 listener L0063 sii 0.5299,S06081,L0063,0.5299,06081
Scene S06082 listener L0090 sii 0.5084,S06082,L0090,0.5084,06082
Scene S06082 listener L0068 sii 0.5356,S06082,L0068,0.5356,06082
Scene S06082 listener L0005 sii 0.5673,S06082,L0005,0.5673,06082
Scene S06083 listener L0066 sii 0.5893,S06083,L0066,0.5893,06083
Scene S06083 listener L0090 sii 0.4423,S06083,L0090,0.4423,06083
Scene S06083 listener L0068 sii 0.4753,S06083,L0068,0.4753,06083
Scene S06084 listener L0008 sii 0.5184,S06084,L0008,0.5184,06084
Scene S06084 listener L0028 sii 0.5559,S06084,L0028,0.5559,06084
Scene S06084 listener L0072 sii 0.4452,S06084,L0072,0.4452,06084
Scene S06085 listener L0011 sii 0.6096,S06085,L0011,0.6096,06085
Scene S06085 listener L0044 sii 0.6266,S06085,L0044,0.6266,06085
Scene S06085 listener L0027 sii 0.6282,S06085,L0027,0.6282,06085
Scene S06086 listener L0072 sii 0.4528,S06086,L0072,0.4528,06086
Scene S06086 listener L0084 sii 0.5344,S06086,L0084,0.5344,06086
Scene S06086 listener L0078 sii 0.6007,S06086,L0078,0.6007,06086
Scene S06087 listener L0089 sii 0.3868,S06087,L0089,0.3868,06087
Scene S06087 listener L0095 sii 0.4731,S06087,L0095,0.4731,06087
Scene S06087 listener L0001 sii 0.4121,S06087,L0001,0.4121,06087
Scene S06088 listener L0005 sii 0.3318,S06088,L0005,0.3318,06088
Scene S06088 listener L0080 sii 0.3472,S06088,L0080,0.3472,06088
Scene S06088 listener L0055 sii 0.3617,S06088,L0055,0.3617,06088
Scene S06089 listener L0053 sii 0.5699,S06089,L0053,0.5699,06089
Scene S06089 listener L0074 sii 0.5351,S06089,L0074,0.5351,06089
Scene S06089 listener L0009 sii 0.5904,S06089,L0009,0.5904,06089
Scene S06090 listener L0068 sii 0.472,S06090,L0068,0.472,06090
Scene S06090 listener L0032 sii 0.5445,S06090,L0032,0.5445,06090
Scene S06090 listener L0088 sii 0.5341,S06090,L0088,0.5341,06090
Scene S06091 listener L0099 sii 0.5788,S06091,L0099,0.5788,06091
Scene S06091 listener L0013 sii 0.5581,S06091,L0013,0.5581,06091
Scene S06091 listener L0022 sii 0.5922,S06091,L0022,0.5922,06091
Scene S06092 listener L0002 sii 0.5976,S06092,L0002,0.5976,06092
Scene S06092 listener L0066 sii 0.6405,S06092,L0066,0.6405,06092
Scene S06092 listener L0068 sii 0.5223,S06092,L0068,0.5223,06092
Scene S06093 listener L0054 sii 0.5909,S06093,L0054,0.5909,06093
Scene S06093 listener L0001 sii 0.5796,S06093,L0001,0.5796,06093
Scene S06093 listener L0036 sii 0.5403,S06093,L0036,0.5403,06093
Scene S06094 listener L0002 sii 0.5257,S06094,L0002,0.5257,06094
Scene S06094 listener L0001 sii 0.477,S06094,L0001,0.477,06094
Scene S06094 listener L0084 sii 0.4831,S06094,L0084,0.4831,06094
Scene S06095 listener L0096 sii 0.5641,S06095,L0096,0.5641,06095
Scene S06095 listener L0015 sii 0.5426,S06095,L0015,0.5426,06095
Scene S06095 listener L0032 sii 0.6177,S06095,L0032,0.6177,06095
Scene S06096 listener L0021 sii 0.6861,S06096,L0021,0.6861,06096
Scene S06096 listener L0095 sii 0.6779,S06096,L0095,0.6779,06096
Scene S06096 listener L0034 sii 0.5616,S06096,L0034,0.5616,06096
Scene S06097 listener L0051 sii 0.4587,S06097,L0051,0.4587,06097
Scene S06097 listener L0047 sii 0.5097,S06097,L0047,0.5097,06097
Scene S06097 listener L0031 sii 0.5137,S06097,L0031,0.5137,06097
Scene S06098 listener L0015 sii 0.5465,S06098,L0015,0.5465,06098
Scene S06098 listener L0076 sii 0.5484,S06098,L0076,0.5484,06098
Scene S06098 listener L0065 sii 0.5584,S06098,L0065,0.5584,06098
Scene S06099 listener L0098 sii 0.6385,S06099,L0098,0.6385,06099
Scene S06099 listener L0013 sii 0.6403,S06099,L0013,0.6403,06099
Scene S06099 listener L0003 sii 0.7093,S06099,L0003,0.7093,06099
Scene S06100 listener L0047 sii 0.5326,S06100,L0047,0.5326,06100
Scene S06100 listener L0072 sii 0.4573,S06100,L0072,0.4573,06100
Scene S06100 listener L0019 sii 0.5736,S06100,L0019,0.5736,06100
Scene S06101 listener L0042 sii 0.6116,S06101,L0042,0.6116,06101
Scene S06101 listener L0023 sii 0.4767,S06101,L0023,0.4767,06101
Scene S06101 listener L0083 sii 0.5564,S06101,L0083,0.5564,06101
Scene S06102 listener L0100 sii 0.6046,S06102,L0100,0.6046,06102
Scene S06102 listener L0058 sii 0.581,S06102,L0058,0.581,06102
Scene S06102 listener L0019 sii 0.6598,S06102,L0019,0.6598,06102
Scene S06103 listener L0026 sii 0.4706,S06103,L0026,0.4706,06103
Scene S06103 listener L0047 sii 0.5735,S06103,L0047,0.5735,06103
Scene S06103 listener L0003 sii 0.6266,S06103,L0003,0.6266,06103
Scene S06104 listener L0008 sii 0.6233,S06104,L0008,0.6233,06104
Scene S06104 listener L0035 sii 0.7061,S06104,L0035,0.7061,06104
Scene S06104 listener L0044 sii 0.6588,S06104,L0044,0.6588,06104
Scene S06105 listener L0089 sii 0.5666,S06105,L0089,0.5666,06105
Scene S06105 listener L0054 sii 0.56,S06105,L0054,0.56,06105
Scene S06105 listener L0061 sii 0.5992,S06105,L0061,0.5992,06105
Scene S06106 listener L0090 sii 0.5418,S06106,L0090,0.5418,06106
Scene S06106 listener L0008 sii 0.5446,S06106,L0008,0.5446,06106
Scene S06106 listener L0095 sii 0.5731,S06106,L0095,0.5731,06106
Scene S06107 listener L0080 sii 0.6079,S06107,L0080,0.6079,06107
Scene S06107 listener L0100 sii 0.6505,S06107,L0100,0.6505,06107
Scene S06107 listener L0073 sii 0.5822,S06107,L0073,0.5822,06107
Scene S06108 listener L0099 sii 0.6935,S06108,L0099,0.6935,06108
Scene S06108 listener L0070 sii 0.6523,S06108,L0070,0.6523,06108
Scene S06108 listener L0062 sii 0.5966,S06108,L0062,0.5966,06108
Scene S06109 listener L0085 sii 0.6906,S06109,L0085,0.6906,06109
Scene S06109 listener L0029 sii 0.6406,S06109,L0029,0.6406,06109
Scene S06109 listener L0035 sii 0.6405,S06109,L0035,0.6405,06109
Scene S06110 listener L0063 sii 0.4888,S06110,L0063,0.4888,06110
Scene S06110 listener L0093 sii 0.4432,S06110,L0093,0.4432,06110
Scene S06110 listener L0049 sii 0.418,S06110,L0049,0.418,06110
Scene S06111 listener L0002 sii 0.4672,S06111,L0002,0.4672,06111
Scene S06111 listener L0023 sii 0.4047,S06111,L0023,0.4047,06111
Scene S06111 listener L0026 sii 0.4415,S06111,L0026,0.4415,06111
Scene S06112 listener L0045 sii 0.6861,S06112,L0045,0.6861,06112
Scene S06112 listener L0056 sii 0.6246,S06112,L0056,0.6246,06112
Scene S06112 listener L0057 sii 0.6827,S06112,L0057,0.6827,06112
Scene S06113 listener L0062 sii 0.4523,S06113,L0062,0.4523,06113
Scene S06113 listener L0014 sii 0.438,S06113,L0014,0.438,06113
Scene S06113 listener L0057 sii 0.4827,S06113,L0057,0.4827,06113
Scene S06114 listener L0097 sii 0.5226,S06114,L0097,0.5226,06114
Scene S06114 listener L0005 sii 0.5743,S06114,L0005,0.5743,06114
Scene S06114 listener L0008 sii 0.561,S06114,L0008,0.561,06114
Scene S06115 listener L0045 sii 0.5406,S06115,L0045,0.5406,06115
Scene S06115 listener L0027 sii 0.5356,S06115,L0027,0.5356,06115
Scene S06115 listener L0026 sii 0.5126,S06115,L0026,0.5126,06115
Scene S06116 listener L0092 sii 0.5289,S06116,L0092,0.5289,06116
Scene S06116 listener L0049 sii 0.5538,S06116,L0049,0.5538,06116
Scene S06116 listener L0061 sii 0.636,S06116,L0061,0.636,06116
Scene S06117 listener L0065 sii 0.7166,S06117,L0065,0.7166,06117
Scene S06117 listener L0088 sii 0.7027,S06117,L0088,0.7027,06117
Scene S06117 listener L0022 sii 0.7473,S06117,L0022,0.7473,06117
Scene S06118 listener L0049 sii 0.5454,S06118,L0049,0.5454,06118
Scene S06118 listener L0019 sii 0.6495,S06118,L0019,0.6495,06118
Scene S06118 listener L0077 sii 0.5525,S06118,L0077,0.5525,06118
Scene S06119 listener L0040 sii 0.3979,S06119,L0040,0.3979,06119
Scene S06119 listener L0009 sii 0.4449,S06119,L0009,0.4449,06119
Scene S06119 listener L0053 sii 0.4205,S06119,L0053,0.4205,06119
Scene S06120 listener L0029 sii 0.6518,S06120,L0029,0.6518,06120
Scene S06120 listener L0083 sii 0.6334,S06120,L0083,0.6334,06120
Scene S06120 listener L0012 sii 0.5618,S06120,L0012,0.5618,06120
Scene S06121 listener L0051 sii 0.5716,S06121,L0051,0.5716,06121
Scene S06121 listener L0066 sii 0.6937,S06121,L0066,0.6937,06121
Scene S06121 listener L0056 sii 0.5374,S06121,L0056,0.5374,06121
Scene S06122 listener L0051 sii 0.6051,S06122,L0051,0.6051,06122
Scene S06122 listener L0068 sii 0.6081,S06122,L0068,0.6081,06122
Scene S06122 listener L0017 sii 0.6786,S06122,L0017,0.6786,06122
Scene S06123 listener L0015 sii 0.4858,S06123,L0015,0.4858,06123
Scene S06123 listener L0089 sii 0.4471,S06123,L0089,0.4471,06123
Scene S06123 listener L0077 sii 0.4891,S06123,L0077,0.4891,06123
Scene S06124 listener L0076 sii 0.5242,S06124,L0076,0.5242,06124
Scene S06124 listener L0057 sii 0.5852,S06124,L0057,0.5852,06124
Scene S06124 listener L0021 sii 0.5502,S06124,L0021,0.5502,06124
Scene S06125 listener L0077 sii 0.5058,S06125,L0077,0.5058,06125
Scene S06125 listener L0019 sii 0.6064,S06125,L0019,0.6064,06125
Scene S06125 listener L0080 sii 0.5869,S06125,L0080,0.5869,06125
Scene S06126 listener L0069 sii 0.6728,S06126,L0069,0.6728,06126
Scene S06126 listener L0005 sii 0.6349,S06126,L0005,0.6349,06126
Scene S06126 listener L0051 sii 0.6058,S06126,L0051,0.6058,06126
Scene S06127 listener L0056 sii 0.6319,S06127,L0056,0.6319,06127
