Column1,Scene,Listener,SII,Column2
Scene S07368 listener L0035 sii 0.4292,S07368,L0035,0.4292,07368
Scene S07368 listener L0065 sii 0.3986,S07368,L0065,0.3986,07368
Scene S07368 listener L0008 sii 0.3862,S07368,L0008,0.3862,07368
Scene S07369 listener L0094 sii 0.5898,S07369,L0094,0.5898,07369
Scene S07369 listener L0038 sii 0.5184,S07369,L0038,0.5184,07369
Scene S07369 listener L0090 sii 0.5268,S07369,L0090,0.5268,07369
Scene S07370 listener L0001 sii 0.3542,S07370,L0001,0.3542,07370
Scene S07370 listener L0072 sii 0.3375,S07370,L0072,0.3375,07370
Scene S07370 listener L0002 sii 0.3811,S07370,L0002,0.3811,07370
Scene S07371 listener L0068 sii 0.6183,S07371,L0068,0.6183,07371
Scene S07371 listener L0026 sii 0.5929,S07371,L0026,0.5929,07371
Scene S07371 listener L0034 sii 0.5587,S07371,L0034,0.5587,07371
Scene S07372 listener L0011 sii 0.5182,S07372,L0011,0.5182,07372
Scene S07372 listener L0092 sii 0.4097,S07372,L0092,0.4097,07372
Scene S07372 listener L0099 sii 0.5455,S07372,L0099,0.5455,07372
Scene S07373 listener L0022 sii 0.6176,S07373,L0022,0.6176,07373
Scene S07373 listener L0054 sii 0.5247,S07373,L0054,0.5247,07373
Scene S07373 listener L0047 sii 0.5798,S07373,L0047,0.5798,07373
Scene S07374 listener L0049 sii 0.5255,S07374,L0049,0.5255,07374
Scene S07374 listener L0072 sii 0.5472,S07374,L0072,0.5472,07374
Scene S07374 listener L0057 sii 0.6821,S07374,L0057,0.6821,07374
Scene S07375 listener L0084 sii 0.4933,S07375,L0084,0.4933,07375
Scene S07375 listener L0067 sii 0.4846,S07375,L0067,0.4846,07375
Scene S07375 listener L0078 sii 0.5146,S07375,L0078,0.5146,07375
Scene S07376 listener L0056 sii 0.4508,S07376,L0056,0.4508,07376
Scene S07376 listener L0045 sii 0.5338,S07376,L0045,0.5338,07376
Scene S07376 listener L0083 sii 0.5148,S07376,L0083,0.5148,07376
Scene S07377 listener L0051 sii 0.4173,S07377,L0051,0.4173,07377
Scene S07377 listener L0071 sii 0.4329,S07377,L0071,0.4329,07377
Scene S07377 listener L0085 sii 0.4844,S07377,L0085,0.4844,07377
Scene S07378 listener L0056 sii 0.5327,S07378,L0056,0.5327,07378
Scene S07378 listener L0066 sii 0.7107,S07378,L0066,0.7107,07378
Scene S07378 listener L0047 sii 0.6067,S07378,L0047,0.6067,07378
Scene S07379 listener L0002 sii 0.7047,S07379,L0002,0.7047,07379
Scene S07379 listener L0036 sii 0.639,S07379,L0036,0.639,07379
Scene S07379 listener L0074 sii 0.6625,S07379,L0074,0.6625,07379
